state,strata,date,proportion,water_production,year
Sabah,overall,2010-01-01,79.7,931,2010
Sabah,overall,2011-01-01,80,989,2011
Sabah,overall,2012-01-01,82,1057,2012
Sabah,overall,2013-01-01,86,1132,2013
Sabah,overall,2014-01-01,86.5,1196,2014
Sabah,overall,2015-01-01,87.9,1229,2015
Sabah,overall,2016-01-01,89.4,1223,2016
Sabah,overall,2017-01-01,89,1261,2017
Sabah,overall,2018-01-01,89,1304,2018
Sabah,overall,2019-01-01,89,1374,2019
Sabah,overall,2020-01-01,77,1319,2020
Sabah,overall,2021-01-01,78,1365,2021
Sabah,overall,2022-01-01,80.5,1404,2022
Sarawak,overall,2000-01-01,96,453,2000
Sarawak,overall,2001-01-01,95.8,476,2001
Sarawak,overall,2002-01-01,95.8,670,2002
Sarawak,overall,2003-01-01,95.8,698,2003
Sarawak,overall,2004-01-01,96,752,2004
Sarawak,overall,2005-01-01,96,748,2005
Sarawak,overall,2006-01-01,96,748,2006
Sarawak,overall,2007-01-01,77,940,2007
Sarawak,overall,2008-01-01,78,956,2008
Sarawak,overall,2009-01-01,86.2,1015,2009
Sarawak,overall,2010-01-01,93.7,1090,2010
Sarawak,overall,2011-01-01,93.7,1083,2011
Sarawak,overall,2012-01-01,93.8,1107,2012
Sarawak,overall,2013-01-01,93.8,1165,2013
Sarawak,overall,2014-01-01,94,1188,2014
Sarawak,overall,2015-01-01,87.9,1268,2015
Sarawak,overall,2016-01-01,89.2,1447,2016
Sarawak,overall,2017-01-01,89.6,1494,2017
Sarawak,overall,2018-01-01,89.8,1625,2018
Sarawak,overall,2019-01-01,81.9,1646,2019
Sarawak,overall,2020-01-01,83.4,1693,2020
Sarawak,overall,2021-01-01,83.6,1767,2021
Sarawak,overall,2022-01-01,83.7,1881,2022
Selangor,overall,2000-01-01,99,3425,2000
Selangor,overall,2001-01-01,99.8,3130,2001
Selangor,overall,2002-01-01,99.7,3345,2002
Selangor,overall,2003-01-01,99.9,3538,2003
Selangor,overall,2004-01-01,99.6,3709,2004
Selangor,overall,2005-01-01,99.5,3728,2005
Selangor,overall,2006-01-01,99.9,3776,2006
Selangor,overall,2007-01-01,99.9,3814,2007
Selangor,overall,2008-01-01,99.9,3889,2008
Selangor,overall,2009-01-01,99.9,3926,2009
Selangor,overall,2010-01-01,99.5,4063,2010
Selangor,overall,2011-01-01,99.8,4143,2011
Selangor,overall,2012-01-01,99.8,4323,2012
Selangor,overall,2013-01-01,99.8,4563,2013
Selangor,overall,2014-01-01,99.8,4594,2014
Selangor,overall,2015-01-01,99.8,4675,2015
Selangor,overall,2016-01-01,99.8,4807,2016
Selangor,overall,2017-01-01,99.8,4842,2017
Selangor,overall,2018-01-01,99.8,4856,2018
Selangor,overall,2019-01-01,99.8,4932,2019
Selangor,overall,2020-01-01,99.8,4967,2020
Selangor,overall,2021-01-01,99.8,4985,2021
Selangor,overall,2022-01-01,99.8,5116,2022
Terengganu,overall,2000-01-01,81,334,2000
Terengganu,overall,2001-01-01,82.4,349,2001
Terengganu,overall,2002-01-01,87.7,369,2002
Terengganu,overall,2003-01-01,87.8,387,2003
Terengganu,overall,2004-01-01,84.8,399,2004
Terengganu,overall,2005-01-01,96,424,2005
Terengganu,overall,2006-01-01,91,465,2006
Terengganu,overall,2007-01-01,90,525,2007
Terengganu,overall,2008-01-01,90.4,547,2008
Terengganu,overall,2009-01-01,90.7,567,2009
Terengganu,overall,2010-01-01,95.7,612,2010
Terengganu,overall,2011-01-01,95.8,599,2011
Terengganu,overall,2012-01-01,96,623,2012
Terengganu,overall,2013-01-01,96,617,2013
Terengganu,overall,2014-01-01,96,598,2014
Terengganu,overall,2015-01-01,96,603,2015
Terengganu,overall,2016-01-01,96,640,2016
Terengganu,overall,2017-01-01,96,641,2017
Terengganu,overall,2018-01-01,96,627,2018
Terengganu,overall,2019-01-01,96,632,2019
Terengganu,overall,2020-01-01,96,657,2020
Terengganu,overall,2021-01-01,96,656,2021
Terengganu,overall,2022-01-01,96,720,2022
W.P. Labuan,overall,2000-01-01,100,30,2000
W.P. Labuan,overall,2001-01-01,100,34,2001
W.P. Labuan,overall,2002-01-01,100,34,2002
W.P. Labuan,overall,2003-01-01,100,34,2003
W.P. Labuan,overall,2004-01-01,100,35,2004
W.P. Labuan,overall,2005-01-01,100,37,2005
W.P. Labuan,overall,2006-01-01,100,35,2006
W.P. Labuan,overall,2007-01-01,100,46,2007
W.P. Labuan,overall,2008-01-01,100,47,2008
W.P. Labuan,overall,2009-01-01,100,48,2009
W.P. Labuan,overall,2010-01-01,100,49,2010
W.P. Labuan,overall,2011-01-01,100,54,2011
W.P. Labuan,overall,2012-01-01,100,59,2012
W.P. Labuan,overall,2013-01-01,100,64,2013
W.P. Labuan,overall,2014-01-01,100,69,2014
W.P. Labuan,overall,2015-01-01,100,73,2015
W.P. Labuan,overall,2016-01-01,100,72,2016
W.P. Labuan,overall,2017-01-01,100,71,2017
W.P. Labuan,overall,2018-01-01,100,74,2018
W.P. Labuan,overall,2019-01-01,100,76,2019
W.P. Labuan,overall,2020-01-01,100,82,2020
W.P. Labuan,overall,2021-01-01,100,84,2021
W.P. Labuan,overall,2022-01-01,100,83,2022
