state,sector,date,value,year
Perak,domestic,1/1/22,699,2022
Perak,nondomestic,1/1/03,150,2003
Perak,nondomestic,1/1/04,161,2004
Perak,nondomestic,1/1/05,175,2005
Perak,nondomestic,1/1/06,182,2006
Perak,nondomestic,1/1/07,185,2007
Perak,nondomestic,1/1/08,190,2008
Perak,nondomestic,1/1/09,194,2009
Perak,nondomestic,1/1/10,210,2010
Perak,nondomestic,1/1/11,216,2011
Perak,nondomestic,1/1/12,217,2012
Perak,nondomestic,1/1/13,228,2013
Perak,nondomestic,1/1/14,236,2014
Perak,nondomestic,1/1/15,250,2015
Perak,nondomestic,1/1/16,262,2016
Perak,nondomestic,1/1/17,260,2017
Perak,nondomestic,1/1/18,268,2018
Perak,nondomestic,1/1/19,278,2019
Perak,nondomestic,1/1/20,266,2020
Perak,nondomestic,1/1/21,266,2021
Perak,nondomestic,1/1/22,289,2022
Perlis,domestic,1/1/03,47,2003
Perlis,domestic,1/1/04,50,2004
Perlis,domestic,1/1/05,50,2005
Perlis,domestic,1/1/06,51,2006
Perlis,domestic,1/1/07,50,2007
Perlis,domestic,1/1/08,54,2008
Perlis,domestic,1/1/09,49,2009
Perlis,domestic,1/1/10,63,2010
Perlis,domestic,1/1/11,62,2011
Perlis,domestic,1/1/12,57,2012
Perlis,domestic,1/1/13,65,2013
Perlis,domestic,1/1/14,81,2014
Perlis,domestic,1/1/15,81,2015
Perlis,domestic,1/1/16,82,2016
Perlis,domestic,1/1/17,78,2017
Perlis,domestic,1/1/18,80,2018
Perlis,domestic,1/1/19,80,2019
Perlis,domestic,1/1/20,78,2020
Perlis,domestic,1/1/21,80,2021
Perlis,domestic,1/1/22,80,2022
Perlis,nondomestic,1/1/03,7,2003
Perlis,nondomestic,1/1/04,12,2004
Perlis,nondomestic,1/1/05,9,2005
Perlis,nondomestic,1/1/06,10,2006
Perlis,nondomestic,1/1/07,14,2007
Perlis,nondomestic,1/1/08,9,2008
Perlis,nondomestic,1/1/09,11,2009
Perlis,nondomestic,1/1/10,9,2010
Perlis,nondomestic,1/1/11,11,2011
Perlis,nondomestic,1/1/12,10,2012
Perlis,nondomestic,1/1/13,15,2013
Perlis,nondomestic,1/1/14,15,2014
Perlis,nondomestic,1/1/15,15,2015
Perlis,nondomestic,1/1/16,14,2016
Perlis,nondomestic,1/1/17,11,2017
Perlis,nondomestic,1/1/18,10,2018
Perlis,nondomestic,1/1/19,12,2019
Perlis,nondomestic,1/1/20,12,2020
Perlis,nondomestic,1/1/21,11,2021
Perlis,nondomestic,1/1/22,18,2022
Pulau Pinang,domestic,1/1/03,377,2003
Pulau Pinang,domestic,1/1/04,388,2004
Pulau Pinang,domestic,1/1/05,400,2005
Pulau Pinang,domestic,1/1/06,408,2006
Pulau Pinang,domestic,1/1/07,427,2007
Pulau Pinang,domestic,1/1/08,439,2008
Pulau Pinang,domestic,1/1/09,451,2009
Pulau Pinang,domestic,1/1/10,468,2010
Pulau Pinang,domestic,1/1/11,459,2011
Pulau Pinang,domestic,1/1/12,475,2012
Pulau Pinang,domestic,1/1/13,481,2013
Pulau Pinang,domestic,1/1/14,483,2014
Pulau Pinang,domestic,1/1/15,483,2015
Pulau Pinang,domestic,1/1/16,492,2016
Pulau Pinang,domestic,1/1/17,482,2017
Pulau Pinang,domestic,1/1/18,491,2018
Pulau Pinang,domestic,1/1/19,499,2019
Pulau Pinang,domestic,1/1/20,533,2020
Pulau Pinang,domestic,1/1/21,547,2021
